eventDate,scientificName,family,order,decimalLatitude,decimalLongitude,waterBody
2023-03-21,Limoniidae,Limoniidae,Diptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Helobdella Blanchard, 1896",Glossiphoniidae,Rhynchobdellida,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Platycnemis Burmeister, 1839",Platycnemididae,Odonata,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-20,"Lymnaea Lamarck, 1799",Lymnaeidae,,51.26784,5.42832,Meuse river basin;DOMMEL;BEVL05_136
2023-03-20,"Erpobdella Lamarck, 1818",Erpobdellidae,Arhynchobdellida,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-21,Oligochaeta,,,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-21,"Erpobdella Lamarck, 1818",Erpobdellidae,Arhynchobdellida,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-21,"Bithynia Leach, 1818",Bithyniidae,Littorinimorpha,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-20,Simuliidae,Simuliidae,Diptera,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-20,Chironomidae,Chironomidae,Diptera,51.23645,5.38156,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-20,Chironomidae,Chironomidae,Diptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Erpobdella Lamarck, 1818",Erpobdellidae,Arhynchobdellida,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Calopteryx Leach, 1815",Calopterygidae,Odonata,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Pisidium C.Pfeiffer, 1821",Sphaeriidae,Sphaeriida,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-21,"Glossiphonia Johnson, 1816",Glossiphoniidae,Rhynchobdellida,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Animalia,,,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Oligochaeta,,,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Psychodidae,Psychodidae,Diptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Elminthidae,Elmidae,Coleoptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Caenis Stephens, 1835",Caenidae,Ephemeroptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-20,Animalia,,,51.26784,5.42832,Meuse river basin;DOMMEL;BEVL05_136
2023-03-20,Haliplidae,Haliplidae,Coleoptera,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-21,Chironomidae,Chironomidae,Diptera,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-21,"Glossiphonia Johnson, 1816",Glossiphoniidae,Rhynchobdellida,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-21,"Gyraulus Charpentier, 1837",Planorbidae,,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-21,Animalia,,,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-20,Tabanidae,Tabanidae,Diptera,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-29,Oligochaeta,,,51.14311,4.33057,Scheldt river basin;ZEESCHELDE III + RUPEL;BEVL17_42
2023-03-20,Oligochaeta,,,51.23645,5.38156,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-20,"Erpobdella Lamarck, 1818",Erpobdellidae,Arhynchobdellida,51.23645,5.38156,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-20,Limoniidae,Limoniidae,Diptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,Elminthidae,Elmidae,Coleoptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Ephemera Linnaeus, 1758",Ephemeridae,Ephemeroptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,Polycentropodidae,Polycentropodidae,Trichoptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,Ceratopogonidae,Ceratopogonidae,Diptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,Animalia,,,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-21,"Helobdella Blanchard, 1896",Glossiphoniidae,Rhynchobdellida,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Ceratopogonidae,Ceratopogonidae,Diptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Simuliidae,Simuliidae,Diptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
